#MainRoomWorld

d BGColor=0.0,0.2,0.8,1.0;
#0.1,0.8,1.0

d AmbientLight=0.4,0.4,0.4,1.0;

s BGMusic=
"Battle.mid";

b PlayMusic=true;

d LightPosition=0.0, 1.0, 0.0, 0.0;

d StartingPosition=60.0,1.0,42.0;

b DrawFog=true;

d FogColor=0.1,0.8,1.0,1.0;

i MinTrisPerNode=60;

d MinNodeSize=20.0;

#Same as water surface except it creates a refracting surface
#First 3 are center position, 4th is the amplitude of square, 5 = depth
d WaterRefract=
83.5,-0.5,47.5,16.5,30.0;

#Number of segments, tex offset refract, tex offset reflect
i WaterRefract=33,9,6;

s ObjectModel;

i FireTexture=1;
d Fire=99.0,0.5,1.0;

d Ball=90.0, 3.0, 25.0, 5,
	85.0, 1.0, 25.0, 5,
	80.0, 4.0, 25.0, 5,
	75.0, 1.0, 25.0, 5,
	70.0, 5.0, 25.0, 5,
	87.5, 9.0, 20.0, 5,
	82.5, 2.0, 20.0, 5,
	77.5, 6.0, 20.0, 5,
	72.5, 5.0, 20.0, 5,
	85.0, 3.0, 15.0, 5,
	80.0, 5.0, 15.0, 5,
	75.0, 8.0, 15.0, 5,
	82.5, 9.0, 10.0, 5,
	77.5, 7.0, 10.0, 5,
	80.0, 9.0, 5.0, 5;

d Knive=50,2,32,4,
	50,2,34,4,
	50,2,36,4,
	50,2,38,4,
	50,2,40,4,
	50,2,42,4,
	50,2,44,4,
	50,2,46,4,
	50,2,48,4,
	50,2,50,4,
	50,2,52,4; 

i LandScapeTexture=8;	

d Points=0.0, 0.0, 0.0,
	0.0, 10.0, 0.0,
	100.0, 0.0, 0.0,
	100.0, 10.0, 0.0,
	100.0, 0.0, 64.0,
	100.0, 10.0, 64.0,
	0.0, 0.0, 64.0,
	0.0, 10.0, 64.0,
	67.0, 0.0, 64.0,
	72.0, 0.0, 46.0,
	83.0, 0.0, 36.0,
	93.0, 0.0, 34.0,
	100.0, 0.0, 35.0,
	82.0, 0.0, 64.0, 
	82.0, -10.0, 49.0, 
	100, 0.0, 49.0, 

	30.0, 10.0, 16,
	40.5, 10.0, 20.5,
	45.0, 10.0, 31.0,
	40.5, 10.0, 41.5,
	30.0, 10.0, 46.0,
	19.5, 10.0, 41.5,
	15.0, 10.0, 31.0,
	19.5, 10.0, 20.5,

	30.0, 7.5, 20.0,
	37.0, 7.5, 23.0,
	40.0, 7.5, 31.0,
	37.0, 7.5, 39.0,
	30.0, 7.5, 42.0,
	23.0, 7.5, 39.0,
	20.0, 7.5, 31.0,
	23.0, 7.5, 23.0,

	30.0, 5.0, 31.0,
#door to ripple
	0.0, 0.0, 20.0,
	0.0, 0.0, 26.0,
	-7.0, 0.0, 20.0,
	-7.0, 0.0, 26.0,
	0.0, 5.0, 20.0,
	0.0, 5.0, 26.0,
	-7.0, 5.0, 20.0,
	-7.0, 5.0, 26.0;
	

i Triangles=0,2,1,
	2,3,1,
	2,4,3,
	4,5,3,
	4,6,5,
	6,7,5,
	0,1,37,
	0,37,33,
	0,6,2,
	6,8,9,
	6,9,10,
	6,10,2,
	2,10,11,
	2,11,12,
	8,13,14,
	13,4,14,
	14,4,15,
	14,15,12,
	14,12,11,
	14,11,10,
	14,10,9,
	8,14,9,

	21,23,22,
	21,16,23,
	21,17,16,
	21,18,17,
	21,19,18,
	21,20,19,

	16,17,24,
	24,17,25,
	25,17,18,
	25,18,26,
	26,18,19,
	26,19,27,
	27,19,20,
	27,20,28,
	28,20,21,
	28,21,29,
	29,21,22,
	29,22,30,
	30,22,23,
	30,23,31,
	31,23,16,
	31,16,24,

	32,24,25,
	32,25,26,
	32,26,27,
	32,27,28,
	32,28,29,
	32,29,30,
	32,30,31,
	32,31,24,
#door to ripple
	33,35,34,
	35,36,34,
	33,37,39,
	33,39,35,
	34,36,40,
	34,40,38,
	39,37,38,
	39,38,40,
#wall around ripple-door
	1,38,37,
	1,7,38,
	7,6,38,
	6,34,38;


d Colors=1.0, 1.0, 1.0;
0.0,0.7,0.2,1.0,
	0.0,0.35,0.15,1.0,
	0.0,0.45,0.05,1.0,
	1.0,1.0,1.0,1.0,
#Light Brown
	0.863,0.549,0.1294,1.0,
#Dark brown
	0.4941,0.345,0.0705,1.0;

#Points with colors different to standard(offset 0)
i PointColors=0,2,2,2,4,2,6,2,8,2,9,2,10,2,11,2,12,2,
	32,4,24,5,25,5,26,5,27,5,28,5,29,5,30,5,31,5,14,1,
	33,2,34,2,35,2,36,2;

#1:Triangle; 2,3,4:Col offset;
i TriColors=8,3,3,3,
	9,3,3,3,
	10,3,3,3,
	11,3,3,3,
	12,3,3,3,
	13,3,3,3,
	52,3,3,3,
	53,3,3,3;

d TexCoords=0.0,0.01,
	1.0,0.01,
	0.0,1.0,
	0.5625,0.83, //10
	0.71875,0.72, //9
	1.0,0.67, //8
	0.53125,0.93, //11
	0.546875,1.0, //12
#ground to ripple
	0.3125,0.01,
	0.40625,0.01,
	0.3125,0.05,
	0.40625,0.05;

#1:Triangle; 2,3,4:Tex coords;
i TriTexs=8,0,1,2,
	11,1,3,2, 
	10,1,4,3, 
	9,1,5,4,
	12,2,3,6,
	13,2,6,7,
#ground to ripple
	52,8,10,9,
	53,10,11,9;

# offset 0 is standard friction
d Friction=0.71;

!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
